lower,upper,fortotals
01PLANT.Anthriscus sylvestris,02FV.Platycheirus nielseni,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Platypalpus sp,1.90E+01
01PLANT.Anthriscus sylvestris,02FV.Psychodidae sp,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Psyllidae sp,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Pteromalidae,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Scathophaga stercoraria,2.93E+02
01PLANT.Anthriscus sylvestris,02FV.Scatopsidae sp,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Tenthredopsis nassata,1.97E+01
01PLANT.Bellis perennis,02FV.Empis livida,1.48E+03
01PLANT.Bellis perennis,02FV.Oscinella nitidissima,7.40E+02
01PLANT.Bellis perennis,02FV.Pegoplata aestiva or Adia cinerella,7.40E+02
01PLANT.Bellis perennis,02FV.Scathophaga stercoraria,8.88E+03
01PLANT.Brassica napus,02FV.Empis livida,1.49E+02
01PLANT.Brassica napus,02FV.Neoascia podagrica,4.97E+01
01PLANT.Brassica napus,02FV.Syritta pipiens,4.97E+01
01PLANT.Capsella bursa-pastoris,02FV.Empis livida,7.48E+02
01PLANT.Capsella bursa-pastoris,02FV.Platycheirus albimanus,7.48E+02
01PLANT.Capsella bursa-pastoris,02FV.Syritta pipiens,7.48E+02
01PLANT.Cerastium fontanum,02FV.Empis livida,7.46E+02
01PLANT.Cerastium fontanum,02FV.Neomyia cornicina,6.53E+00
01PLANT.Cerastium fontanum,02FV.Platycheirus albimanus,4.59E+01
01PLANT.Cerastium fontanum,02FV.Tetrastichinae sp,4.76E+02
01PLANT.Cerastium fontanum,02FV.Torymus sp,6.53E+00
01PLANT.Chaerophyllum temulum,02FV.Anaspis pulicaria,3.94E+01
01PLANT.Cirsium arvense,02FV.Anapausis soluta,4.97E+01
01PLANT.Cirsium arvense,02FV.Anthomyza gracilis,4.97E+01
01PLANT.Cirsium arvense,02FV.Apis mellifera,2.40E+03
01PLANT.Cirsium arvense,02FV.Bombus lapidarius,2.19E+02
01PLANT.Cirsium arvense,02FV.Bombus pascuorum,2.19E+02
01PLANT.Cirsium arvense,02FV.Bombus terrestris,4.97E+01
01PLANT.Cirsium arvense,02FV.Botanophila striolata,1.97E+01
01PLANT.Cirsium arvense,02FV.Bracon sp,1.47E+03
01PLANT.Cirsium arvense,02FV.Cheilosia honesta,4.97E+01
01PLANT.Cirsium arvense,02FV.Chrysopilus asiliformis,8.71E+00
01PLANT.Cirsium arvense,02FV.Delia sp,4.97E+01
01PLANT.Cirsium arvense,02FV.Dilophus febrilis,2.04E+02
01PLANT.Cirsium arvense,02FV.Empis livida,7.87E+02
01PLANT.Cirsium arvense,02FV.Episyrphus balteatus,4.97E+01
01PLANT.Cirsium arvense,02FV.Eriothrix rufomaculata,4.97E+01
01PLANT.Cirsium arvense,02FV.Eristalis arbustorum,1.15E+03
01PLANT.Cirsium arvense,02FV.Helophilus pendulus,1.31E+01
01PLANT.Cirsium arvense,02FV.Heteronychia vagans,4.97E+01
01PLANT.Cirsium arvense,02FV.Kuzinia sp,1.97E+01
01PLANT.Cirsium arvense,02FV.Lasioglossum sp,8.91E+01
01PLANT.Cirsium arvense,02FV.Lucilia caesar,9.94E+01
01PLANT.Cirsium arvense,02FV.Lucilia sericata,3.94E+01
01PLANT.Cirsium arvense,02FV.Melanostoma mellinum,1.31E+01
01PLANT.Cirsium arvense,02FV.Melinda viridicyanea,4.97E+01
01PLANT.Cirsium arvense,02FV.Neomyia cornicina,1.57E+03
01PLANT.Cirsium arvense,02FV.Neomyia viridescens,4.97E+01
01PLANT.Cirsium arvense,02FV.Pegoplata aestiva or Adia cinerella,1.97E+01
01PLANT.Cirsium arvense,02FV.Pegoplata depilis,1.97E+01
01PLANT.Cirsium arvense,02FV.Pierretia sp,1.97E+01
01PLANT.Cirsium arvense,02FV.Platycheirus nielseni,1.97E+01
01PLANT.Cirsium arvense,02FV.Polyommatus icarus,4.97E+01
01PLANT.Cirsium arvense,02FV.Pyronia tithonus,9.94E+01
01PLANT.Cirsium arvense,02FV.Rhagonycha fulva,8.71E+00
01PLANT.Cirsium arvense,02FV.Rhingia campestris,1.15E+03
01PLANT.Cirsium arvense,02FV.Rhinophora lepida,3.94E+01
01PLANT.Cirsium arvense,02FV.Scathophaga stercoraria,8.43E+02
01PLANT.Cirsium arvense,02FV.Siphona geniculata,3.33E+03
01PLANT.Cirsium arvense,02FV.Sphaerophoria sp,6.94E+01
01PLANT.Cirsium arvense,02FV.Tetramesa sp,4.97E+01
01PLANT.Cirsium arvense,02FV.Theroscopus sp,3.94E+01
01PLANT.Cirsium arvense,02FV.Tricimba cincta,4.97E+01
01PLANT.Cirsium vulgare,02FV.Apis mellifera,1.74E+01
01PLANT.Cirsium vulgare,02FV.Bombus lapidarius,2.59E+03
01PLANT.Cirsium vulgare,02FV.Bombus pascuorum,2.40E+01
01PLANT.Cirsium vulgare,02FV.Bombus terrestris,6.05E+02
01PLANT.Cirsium vulgare,02FV.Empis livida,4.35E+01
01PLANT.Cirsium vulgare,02FV.Oscinella frit,4.76E+02
01PLANT.Cirsium vulgare,02FV.Pieris brassicae,6.05E+02
01PLANT.Cirsium vulgare,02FV.Sepsis fulgens,7.48E+02
01PLANT.Conolvulus/Calystegia,02FV.Bombus pascuorum,1.90E+01
01PLANT.Conolvulus/Calystegia,02FV.Delia sp,5.25E+01
01PLANT.Conolvulus/Calystegia,02FV.Empis livida,9.94E+01
01PLANT.Conolvulus/Calystegia,02FV.Eupeodes luniger,4.97E+01
01PLANT.Conolvulus/Calystegia,02FV.Melanostoma mellinum,4.97E+01
01PLANT.Conolvulus/Calystegia,02FV.Oedemera nobilis,4.97E+01
01PLANT.Conolvulus/Calystegia,02FV.Platycheirus albimanus,1.90E+01
01PLANT.Conolvulus/Calystegia,02FV.Sphaerophoria sp,1.90E+01
01PLANT.Cornus sanguinea,02FV.Empis livida,4.35E+01
01PLANT.Cornus sanguinea,02FV.Rhagio tringarius,8.71E+00
01PLANT.Crataegus monogyna,02FV.Andrena dorsata,6.53E+00
01PLANT.Crataegus monogyna,02FV.Bombus pascuorum,3.94E+01
01PLANT.Crataegus monogyna,02FV.Cantharis decipiens,1.97E+01
01PLANT.Crataegus monogyna,02FV.Chlorops hypostigma,1.97E+01
01PLANT.Crataegus monogyna,02FV.Chlorops pumilionis,2.61E+01
01PLANT.Crataegus monogyna,02FV.Delia sp,1.31E+01
01PLANT.Crataegus monogyna,02FV.Dilophus febrilis,1.97E+01
01PLANT.Crataegus monogyna,02FV.Glyphipterix simpliciella,1.97E+01
01PLANT.Crataegus monogyna,02FV.Malachius bipustulatus,3.92E+01
01PLANT.Crataegus monogyna,02FV.Oedemera nobilis,1.31E+01
01PLANT.Crataegus monogyna,02FV.Phyllonorycter sp,6.53E+00
01PLANT.Crataegus monogyna,02FV.Platycheirus albimanus,2.62E+01
01PLANT.Crataegus monogyna,02FV.Platypalpus sp,6.53E+00
01PLANT.Crataegus monogyna,02FV.Scathophaga stercoraria,5.91E+01
01PLANT.Galium aparine,02FV.Hylemya vagans,2.98E+02
01PLANT.Galium aparine,02FV.Sciaridae sp,7.88E+01
01PLANT.Galium odoratum,02FV.Hercostomus parvilamellatus,7.46E+01
01PLANT.Geranium robertianum,02FV.Platycheirus albimanus,1.97E+01
01PLANT.Geranium robertianum,02FV.Rhingia campestris,7.46E+01
01PLANT.Heracleum sphondylium,02FV.Alysiinae sp,9.94E+01
01PLANT.Heracleum sphondylium,02FV.Anaspis maculata,3.68E+02
01PLANT.Heracleum sphondylium,02FV.Anaspis pulicaria,2.98E+02
01PLANT.Heracleum sphondylium,02FV.Anthophila fabriciana,1.39E+02
01PLANT.Heracleum sphondylium,02FV.Azelia zetterstedtii,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Botanophila striolata,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Calliphora vicina,5.91E+01
01PLANT.Heracleum sphondylium,02FV.Cantharis nigra,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Cheilosia illustrata,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Chloromyia formosa,8.71E+00
01PLANT.Heracleum sphondylium,02FV.Chlorops hypostigma,2.78E+02
01PLANT.Heracleum sphondylium,02FV.Chlorops pumilionis,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Chorebus sp,9.94E+01
01PLANT.Heracleum sphondylium,02FV.Delia sp,5.47E+02
01PLANT.Heracleum sphondylium,02FV.Dicraeus vagans,3.98E+02
01PLANT.Heracleum sphondylium,02FV.Diplonevra sp,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Empis chioptera,1.31E+01
01PLANT.Heracleum sphondylium,02FV.Empis livida,3.77E+02
01PLANT.Heracleum sphondylium,02FV.Eristalis pertinax,9.94E+01
01PLANT.Heracleum sphondylium,02FV.Eudasyphora cyanella,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Fannia sp,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Formicidae A,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Glyphipterix simpliciella,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Grammoptera ruficornis,1.19E+02
01PLANT.Heracleum sphondylium,02FV.Hemicrepidius hirtus,2.49E+02
01PLANT.Heracleum sphondylium,02FV.Limnophora triangula,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Melinda viridicyanea,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Microchrysa polita,1.31E+01
01PLANT.Heracleum sphondylium,02FV.Neomyia cornicina,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Pegoplata infirma,1.99E+02
01PLANT.Heracleum sphondylium,02FV.Pionini sp,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Platycheirus scutatus,1.97E+01
01PLANT.Heracleum sphondylium,02FV.Platypalpus sp,9.94E+01
01PLANT.Heracleum sphondylium,02FV.Pteromalidae,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Scaptomyza pallida,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Scathophaga stercoraria,2.74E+02
01PLANT.Heracleum sphondylium,02FV.Sciaridae sp,4.31E+03
01PLANT.Heracleum sphondylium,02FV.Sepsis fulgens,9.94E+01
01PLANT.Heracleum sphondylium,02FV.Sepsis orthocnemis,9.94E+01
01PLANT.Heracleum sphondylium,02FV.Sepsis violacea,4.97E+01
01PLANT.Heracleum sphondylium,02FV.Tersilochus sp,1.31E+01
01PLANT.Heracleum sphondylium,02FV.Tiphia minuta,1.49E+02
01PLANT.Heracleum sphondylium,02FV.Volucella bombylans,4.97E+01
01PLANT.Lamiastrum galeobdolon,02FV.Platycheirus albimanus,7.46E+01
01PLANT.Lamiastrum galeobdolon,02FV.Rhingia campestris,7.46E+01
01PLANT.Lamium album,02FV.Bombus pascuorum,9.94E+01
01PLANT.Lapsana communis,02FV.Pegoplata aestiva or Adia cinerella,1.97E+01
01PLANT.Leontodon autumnalis,02FV.Asecodes coronis,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Botanophila striolata,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Delia sp,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Halticoptera sp,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Hexacola hexatoma,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Kleidotoma tetratoma,1.04E+04
01PLANT.Leontodon autumnalis,02FV.Metopina sp,4.81E+03
01PLANT.Leontodon autumnalis,02FV.Pegoplata aestiva or Adia cinerella,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Rhoptromeris heptoma,5.92E+03
01PLANT.Leontodon autumnalis,02FV.Rhoptromeris rufiventris,1.48E+03
01PLANT.Leontodon autumnalis,02FV.Tetrastichinae sp,2.96E+03
01PLANT.Ligustrum vulgare,02FV.Anaspis maculata,1.49E+02
01PLANT.Ligustrum vulgare,02FV.Dolerus haematodes,6.53E+00
01PLANT.Ligustrum vulgare,02FV.Epuraea melanocephala,3.13E+03
01PLANT.Matricaria recutita,02FV.Andrena minutula,9.94E+01
01PLANT.Matricaria recutita,02FV.Anthomyia liturata,9.94E+01
01PLANT.Matricaria recutita,02FV.Authonomus rubi,4.97E+01
01PLANT.Matricaria recutita,02FV.Azelia cilipes,9.94E+01
01PLANT.Matricaria recutita,02FV.Bellardia pandia,9.94E+01
01PLANT.Matricaria recutita,02FV.Botanophila fugax,7.71E+02
01PLANT.Matricaria recutita,02FV.Bruchus rufimanus,2.78E+03
01PLANT.Matricaria recutita,02FV.Cantharis nigra,1.47E+03
01PLANT.Matricaria recutita,02FV.Chrysotoxum bicinctum,9.94E+01
01PLANT.Matricaria recutita,02FV.Delia sp,6.61E+03
01PLANT.Matricaria recutita,02FV.Dolichopus festivus,2.78E+03
01PLANT.Matricaria recutita,02FV.Empis livida,9.26E+03
01PLANT.Matricaria recutita,02FV.Eristalis arbustorum,1.46E+03
01PLANT.Matricaria recutita,02FV.Eristalis tenax,6.05E+02
01PLANT.Matricaria recutita,02FV.Eudasyphora cyanella,6.05E+02
01PLANT.Matricaria recutita,02FV.Eupeodes corollae,1.54E+03
01PLANT.Matricaria recutita,02FV.Gastrophysa viridular,2.31E+03
01PLANT.Matricaria recutita,02FV.Helophilus trivittatus,7.71E+02
01PLANT.Matricaria recutita,02FV.Hydrellia griseola,1.90E+03
01PLANT.Matricaria recutita,02FV.Hylaeus communis,6.05E+02
01PLANT.Matricaria recutita,02FV.Melanostoma mellinum,1.28E+03
01PLANT.Matricaria recutita,02FV.Neomyia cornicina,2.31E+03
01PLANT.Matricaria recutita,02FV.Oedemera lurida,7.71E+02
01PLANT.Matricaria recutita,02FV.Oedemera nobilis,1.47E+03
01PLANT.Matricaria recutita,02FV.Olibrus aeneus,1.09E+03
01PLANT.Matricaria recutita,02FV.Omphalapion hookerorum,6.96E+02
01PLANT.Matricaria recutita,02FV.Opomyza germinationis,6.96E+02
01PLANT.Matricaria recutita,02FV.Pegoplata aestiva or Adia cinerella,3.98E+03
01PLANT.Matricaria recutita,02FV.Phasia obesa,1.54E+03
01PLANT.Matricaria recutita,02FV.Phasia pusilla,6.05E+02
01PLANT.Matricaria recutita,02FV.Platycheirus albimanus,1.38E+03
01PLANT.Matricaria recutita,02FV.Platycheirus manicatus,7.71E+02
01PLANT.Matricaria recutita,02FV.Platycheirus sp,7.71E+02
01PLANT.Matricaria recutita,02FV.Pollenia amentaria,9.94E+01
01PLANT.Matricaria recutita,02FV.Pollenia pediculata,1.60E+03
01PLANT.Matricaria recutita,02FV.Pollenia rudis,7.91E+02
01PLANT.Matricaria recutita,02FV.Rhagonycha fulva,2.98E+02
01PLANT.Matricaria recutita,02FV.Rhinophora lepida,9.94E+01
01PLANT.Matricaria recutita,02FV.Scaptomyza flava,6.66E+02
01PLANT.Matricaria recutita,02FV.Scaptomyza pallida,1.30E+03
01PLANT.Matricaria recutita,02FV.Scathophaga stercoraria,6.27E+03
01PLANT.Matricaria recutita,02FV.Scatopsidae sp,2.42E+03
01PLANT.Matricaria recutita,02FV.Sepsis fulgens,1.21E+03
01PLANT.Matricaria recutita,02FV.Siphona geniculata,1.99E+02
01PLANT.Matricaria recutita,02FV.Sphaerophoria menthastri,6.05E+02
01PLANT.Matricaria recutita,02FV.Sphaerophoria scripta,4.94E+03
01PLANT.Matricaria recutita,02FV.Sphaerophoria sp,5.19E+03
01PLANT.Matricaria recutita,02FV.Stenodiplosis sp,9.94E+01
01PLANT.Matricaria recutita,02FV.Syritta pipiens,6.05E+02
01PLANT.Matricaria recutita,02FV.Thaumatomyia glabra,9.94E+01
01PLANT.Medicago sativa ssp. sativa,02FV.Apis mellifera,1.71E+04
01PLANT.Medicago sativa ssp. sativa,02FV.Bombus terrestris,1.14E+03
01PLANT.Medicago sativa ssp. sativa,02FV.Gastrophysa viridular,1.14E+03
01PLANT.Medicago sativa ssp. sativa,02FV.Rhingia campestris,1.14E+03
01PLANT.Mentha arvensis,02FV.Apis mellifera,5.97E+02
01PLANT.Mentha arvensis,02FV.Eristalis arbustorum,9.94E+01
01PLANT.Mentha arvensis,02FV.Oedemera lurida,9.94E+01
01PLANT.Mentha arvensis,02FV.Scathophaga stercoraria,3.94E+01
01PLANT.Myosotis arvensis,02FV.Empis livida,7.48E+02
01PLANT.Papaver sp.,02FV.Bombus lapidarius,2.29E+03
01PLANT.Papaver sp.,02FV.Bombus terrestris,2.22E+03
01PLANT.Papaver sp.,02FV.Delia sp,7.71E+02
01PLANT.Papaver sp.,02FV.Empis livida,4.97E+01
01PLANT.Papaver sp.,02FV.Oedemera nobilis,9.94E+01
01PLANT.Papaver sp.,02FV.Platycheirus nielseni,7.71E+02
01PLANT.Prunus spinosa,02FV.Scathophaga stercoraria,3.94E+01
01PLANT.Ranunculus acris,02FV.Pegoplata aestiva or Adia cinerella,1.47E+03
01PLANT.Ranunculus repens,02FV.Agriotes pallidulus,1.97E+01
01PLANT.Ranunculus repens,02FV.Alysiinae sp,4.95E+02
01PLANT.Ranunculus repens,02FV.Asecodes coronis,1.11E+03
01PLANT.Ranunculus repens,02FV.Botanophila striolata,5.35E+02
01PLANT.Ranunculus repens,02FV.Bracon sp,1.90E+01
01PLANT.Ranunculus repens,02FV.Cantharis nigra,7.61E+02
01PLANT.Ranunculus repens,02FV.Cecidomyiidae sp,3.70E+02
01PLANT.Ranunculus repens,02FV.Cephus pygmaeus,5.84E+01
01PLANT.Ranunculus repens,02FV.Ceraphron trissacantha,7.20E+02
01PLANT.Ranunculus repens,02FV.Cheilosia albitarsis,7.75E+02
01PLANT.Ranunculus repens,02FV.Chloromyia formosa,1.35E+03
01PLANT.Ranunculus repens,02FV.Chorebus sp nov,1.48E+03
01PLANT.Ranunculus repens,02FV.Chromatomyia nigra,4.97E+01
01PLANT.Ranunculus repens,02FV.Chrysotus sp,4.97E+01
01PLANT.Ranunculus repens,02FV.Delia sp,9.00E+03
01PLANT.Ranunculus repens,02FV.Demetrias atricapillus,6.05E+02
01PLANT.Ranunculus repens,02FV.Desmometopa sp,7.48E+02
01PLANT.Ranunculus repens,02FV.Diplonevra sp,1.59E+03
01PLANT.Ranunculus repens,02FV.Dolichopus festivus,6.87E+01
01PLANT.Ranunculus repens,02FV.Empis livida,3.87E+03
01PLANT.Ranunculus repens,02FV.Episyrphus balteatus,7.48E+02
01PLANT.Ranunculus repens,02FV.Fannia sp,1.18E+02
01PLANT.Ranunculus repens,02FV.Formicidae B,1.52E+03
01PLANT.Ranunculus repens,02FV.Geomyza tripunctata,9.52E+02
01PLANT.Ranunculus repens,02FV.Glyphipterix simpliciella,1.03E+03
01PLANT.Ranunculus repens,02FV.Helina sp,7.40E+02
01PLANT.Ranunculus repens,02FV.Hemicrepidius hirtus,4.97E+01
01PLANT.Ranunculus repens,02FV.Hydrellia griseola,1.11E+03
01PLANT.Ranunculus repens,02FV.Hydrellia maura,7.59E+02
01PLANT.Ranunculus repens,02FV.Hylaeus hyalinatus,2.78E+02
01PLANT.Ranunculus repens,02FV.Hylemya urbica/variata,4.76E+02
01PLANT.Ranunculus repens,02FV.Hylemya vagans,4.97E+01
01PLANT.Ranunculus repens,02FV.Hylemya variata,2.78E+02
01PLANT.Ranunculus repens,02FV.Limnia unguicornis,1.31E+01
01PLANT.Ranunculus repens,02FV.Lonchoptera lutea,6.55E+02
01PLANT.Ranunculus repens,02FV.Lotophila atra,1.22E+03
01PLANT.Ranunculus repens,02FV.Malachius bipustulatus,8.16E+02
01PLANT.Ranunculus repens,02FV.Megaselia sp,1.90E+01
01PLANT.Ranunculus repens,02FV.Melangyna sp,2.41E+03
01PLANT.Ranunculus repens,02FV.Melanostoma mellinum,1.80E+03
01PLANT.Ranunculus repens,02FV.Melanostoma sp,1.97E+01
01PLANT.Ranunculus repens,02FV.Metopina sp,5.14E+03
01PLANT.Ranunculus repens,02FV.Micropterix calthella,8.33E+02
01PLANT.Ranunculus repens,02FV.Oedemera lurida,6.77E+02
01PLANT.Ranunculus repens,02FV.Oedemera nobilis,2.28E+03
01PLANT.Ranunculus repens,02FV.Opomyza germinationis,1.53E+03
01PLANT.Ranunculus repens,02FV.Opomyza petrei,4.97E+01
01PLANT.Ranunculus repens,02FV.Oscinella frit,3.04E+02
01PLANT.Ranunculus repens,02FV.Oscinella hortensis,1.31E+01
01PLANT.Ranunculus repens,02FV.Oscinella nigerrima,4.97E+01
01PLANT.Ranunculus repens,02FV.Oscinella nitidissima,3.45E+02
01PLANT.Ranunculus repens,02FV.Pegoplata aestiva or Adia cinerella,2.91E+04
01PLANT.Ranunculus repens,02FV.Pegoplata infirma,9.94E+01
01PLANT.Ranunculus repens,02FV.Phyllonorycter sp,9.94E+01
01PLANT.Ranunculus repens,02FV.Phytomyza cineracea,9.94E+01
01PLANT.Ranunculus repens,02FV.Phytomyza notata,4.76E+02
01PLANT.Ranunculus repens,02FV.Platycheirus albimanus,7.72E+02
01PLANT.Ranunculus repens,02FV.Platycheirus clypeatus,6.05E+02
01PLANT.Ranunculus repens,02FV.Platypalpus sp,6.53E+00
01PLANT.Ranunculus repens,02FV.Psallinae sp,4.76E+02
01PLANT.Ranunculus repens,02FV.Pteromalidae,4.76E+02
01PLANT.Ranunculus repens,02FV.Rhagio notatus,7.40E+02
01PLANT.Ranunculus repens,02FV.Rhagio tringarius,1.48E+03
01PLANT.Ranunculus repens,02FV.Rhagonycha fulva,4.97E+01
01PLANT.Ranunculus repens,02FV.Rhingia campestris,2.78E+02
01PLANT.Ranunculus repens,02FV.Rhoptromeris heptoma,1.48E+03
01PLANT.Ranunculus repens,02FV.Saltella sphondylii,4.76E+02
01PLANT.Ranunculus repens,02FV.Scathophaga stercoraria,6.81E+03
01PLANT.Ranunculus repens,02FV.Scatopsidae sp,1.11E+03
01PLANT.Ranunculus repens,02FV.Sciaridae sp,4.76E+02
01PLANT.Ranunculus repens,02FV.Sepsis cynipsea or neocynipsea,9.52E+02
01PLANT.Ranunculus repens,02FV.Sepsis fulgens,7.40E+02
01PLANT.Ranunculus repens,02FV.Siphona geniculata,1.16E+03
01PLANT.Ranunculus repens,02FV.Sphaerophoria sp,2.84E+03
01PLANT.Ranunculus repens,02FV.Stenomalina sp,2.41E+03
01PLANT.Ranunculus repens,02FV.Tetrastichinae sp,1.48E+03
01PLANT.Ranunculus repens,02FV.Triphleba sp,1.12E+03
01PLANT.Ranunculus repens,02FV.Tytthaspis sedecimpunctata,1.90E+01
01PLANT.Rosa sp.,02FV.Anaspis maculata,3.94E+01
01PLANT.Rosa sp.,02FV.Anaspis pulicaria,2.36E+02
01PLANT.Rosa sp.,02FV.Byturus tomentosus,3.94E+01
01PLANT.Rosa sp.,02FV.Epuraea melanocephala,1.58E+02
01PLANT.Rosa sp.,02FV.Pegoplata aestiva or Adia cinerella,3.94E+01
01PLANT.Rubus fruticosus,02FV.Anaspis pulicaria,4.97E+01
01PLANT.Rubus fruticosus,02FV.Apis mellifera,4.14E+02
01PLANT.Rubus fruticosus,02FV.Baccha elongate,7.46E+01
01PLANT.Rubus fruticosus,02FV.Bombus hortorum,4.97E+01
01PLANT.Rubus fruticosus,02FV.Bombus lapidarius,1.97E+01
01PLANT.Rubus fruticosus,02FV.Bombus pascuorum,3.94E+01
01PLANT.Rubus fruticosus,02FV.Bombus terrestris,5.91E+01
01PLANT.Rubus fruticosus,02FV.Brachypterus urticae,9.94E+01
01PLANT.Rubus fruticosus,02FV.Cantharis nigra,7.88E+01
01PLANT.Rubus fruticosus,02FV.Cephus pygmaeus,1.97E+01
01PLANT.Rubus fruticosus,02FV.Chrysotus sp,2.13E+02
01PLANT.Rubus fruticosus,02FV.Coccinella septempunctata,3.94E+01
01PLANT.Rubus fruticosus,02FV.Crossopalpus sp,3.94E+01
01PLANT.Rubus fruticosus,02FV.Empis livida,4.36E+02
01PLANT.Rubus fruticosus,02FV.Episyrphus balteatus,1.89E+02
01PLANT.Rubus fruticosus,02FV.Eristalis pertinax,1.34E+02
01PLANT.Rubus fruticosus,02FV.Fannia sp,9.94E+01
01PLANT.Rubus fruticosus,02FV.Hylemya variata,7.46E+01
01PLANT.Rubus fruticosus,02FV.Ichneumonidae,1.97E+01
01PLANT.Rubus fruticosus,02FV.Malthodes minimus,3.94E+01
01PLANT.Rubus fruticosus,02FV.Melanostoma scalare,1.18E+02
01PLANT.Rubus fruticosus,02FV.Neoascia podagrica,9.94E+01
01PLANT.Rubus fruticosus,02FV.Oedemera nobilis,1.39E+02
01PLANT.Rubus fruticosus,02FV.Pegoplata aestiva or Adia cinerella,8.91E+01
01PLANT.Rubus fruticosus,02FV.Platycheirus albimanus,1.93E+02
01PLANT.Rubus fruticosus,02FV.Platycheirus nielseni,1.97E+01
01PLANT.Rubus fruticosus,02FV.Platycheirus peltatus,1.97E+01
01PLANT.Rubus fruticosus,02FV.Pollenia pediculata,1.97E+01
01PLANT.Rubus fruticosus,02FV.Rhagonycha fulva,1.97E+01
01PLANT.Rubus fruticosus,02FV.Rhinophora lepida,7.88E+01
01PLANT.Rubus fruticosus,02FV.Scathophaga stercoraria,4.97E+01
01PLANT.Rubus fruticosus,02FV.Sepsis cynipsea or neocynipsea,1.97E+01
