lower,upper,fortotals,habitat,round
01PLANT.Creeping Buttercup,02FV.Empis livida,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Rhagio tringarius,739.5790043,PP,14
01PLANT.Clover sp,02FV.Maniola jurtina,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Lotophila atra,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Helina sp,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Rhagio notatus,739.5790043,PP,13
01PLANT.Clover sp,02FV.Bombus pascuorum,739.5790043,PP,15
01PLANT.Clover sp,02FV.Bombus pascuorum,739.5790043,PP,15
01PLANT.Creeping Buttercup,02FV.Empis livida,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Chloromyia formosa,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Oedemera nobilis,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Empis livida,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Cantharis nigra,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Delia sp,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,16
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,16
01PLANT.Creeping Thistle,02FV.Tricimba cincta,49.70610238,RG,16
01PLANT.Clover sp,02FV.Bombus pascuorum,49.70610238,RG,16
01PLANT.Mayweed sp,02FV.Authonomus rubi,49.70610238,RG,16
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,13
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,13
01PLANT.Charlock,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,13
01PLANT.Creeping Buttercup,02FV.Opomyza petrei,49.70610238,RG,13
01PLANT.Creeping Buttercup,02FV.Siphona geniculata,49.70610238,RG,13
01PLANT.Mayweed sp,02FV.Scathophaga stercoraria,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Scathophaga stercoraria,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Scathophaga stercoraria,49.70610238,RG,16
01PLANT.Upright Hedge-parsley,02FV.Neomyia cornicina,49.70610238,RG,16
01PLANT.Upright Hedge-parsley,02FV.Coenosia tigrina,49.70610238,RG,16
01PLANT.Upright Hedge-parsley,02FV.Musca autumnalis,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Scathophaga stercoraria,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Lasioglossum sp,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Neomyia cornicina,49.70610238,RG,16
01PLANT.Upright Hedge-parsley,02FV.Pollenia pediculata,49.70610238,RG,16
01PLANT.Upright Hedge-parsley,02FV.Ectemnius cephalotes,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Delia sp,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Sphaerophoria sp,49.70610238,RG,16
01PLANT.Creeping Thistle,02FV.Scathophaga stercoraria,49.70610238,RG,16
01PLANT.Hogweed,02FV.Botanophila striolata,49.70610238,RG,14
01PLANT.Hogweed,02FV.Sepsis orthocnemis,49.70610238,RG,14
01PLANT.Clover sp,02FV.Apis mellifera,49.70610238,RG,14
01PLANT.Clover sp,02FV.Bombus lapidarius,49.70610238,RG,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,49.70610238,RG,14
01PLANT.Bramble,02FV.Empis livida,49.70610238,RG,14
01PLANT.Bramble,02FV.Bombus hortorum,49.70610238,RG,14
01PLANT.Bramble,02FV.Empis livida,49.70610238,RG,14
01PLANT.Bramble,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Hogweed,02FV.Delia sp,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Dolichopus festivus,49.70610238,RG,14
01PLANT.Hogweed,02FV.Chlorops hypostigma,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Hogweed,02FV.Empis livida,49.70610238,RG,14
01PLANT.Clover sp,02FV.Bombus pratorum,49.70610238,RG,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,49.70610238,RG,14
01PLANT.Hogweed,02FV.Empis livida,49.70610238,RG,14
01PLANT.Hogweed,02FV.Volucella bombylans,49.70610238,RG,14
01PLANT.Hogweed,02FV.Anthophila fabriciana,49.70610238,RG,14
01PLANT.Hogweed,02FV.Anthophila fabriciana,49.70610238,RG,14
01PLANT.Hogweed,02FV.Tiphia minuta,49.70610238,RG,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,49.70610238,RG,14
01PLANT.Hogweed,02FV.Anaspis maculata,49.70610238,RG,14
01PLANT.Hogweed,02FV.Delia sp,49.70610238,RG,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,49.70610238,RG,14
01PLANT.Hogweed,02FV.Eristalis pertinax,49.70610238,RG,14
01PLANT.Hogweed,02FV.Delia sp,49.70610238,RG,14
01PLANT.Hogweed,02FV.Empis livida,49.70610238,RG,14
01PLANT.Hogweed,02FV.Pegoplata infirma,49.70610238,RG,14
01PLANT.Hogweed,02FV.Pegoplata infirma,49.70610238,RG,14
01PLANT.Hogweed,02FV.Chlorops hypostigma,49.70610238,RG,14
01PLANT.Hogweed,02FV.Delia sp,49.70610238,RG,14
01PLANT.Hogweed,02FV.Pegoplata infirma,49.70610238,RG,14
01PLANT.Hogweed,02FV.Delia sp,49.70610238,RG,14
01PLANT.Hogweed,02FV.Sepsis fulgens,49.70610238,RG,14
01PLANT.Hogweed,02FV.Chlorops hypostigma,49.70610238,RG,14
01PLANT.Hogweed,02FV.Cheilosia illustrata,49.70610238,RG,14
01PLANT.Hogweed,02FV.Sepsis orthocnemis,49.70610238,RG,14
01PLANT.Hogweed,02FV.Pegoplata infirma,49.70610238,RG,14
01PLANT.Hogweed,02FV.Empis livida,49.70610238,RG,14
01PLANT.Hogweed,02FV.Pteromalidae,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Cephus pygmaeus,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Hogweed,02FV.Chlorops hypostigma,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata infirma,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata infirma,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Botanophila striolata,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Lonchoptera lutea,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Empis livida,49.70610238,RG,14
01PLANT.Hogweed,02FV.Scathophaga stercoraria,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Chrysotus sp,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Melanostoma mellinum,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,49.70610238,RG,14
01PLANT.Hogweed,02FV.Eristalis pertinax,49.70610238,RG,14
01PLANT.Creeping Buttercup,02FV.Opomyza germinationis,49.70610238,RG,14
01PLANT.Hogweed,02FV.Empis livida,49.70610238,RG,14
01PLANT.Hogweed,02FV.Delia sp,49.70610238,RG,14
01PLANT.Hogweed,02FV.Sepsis violacea,49.70610238,RG,14
01PLANT.Oil Seed Rape,02FV.Empis livida,49.70610238,RG,14
01PLANT.Oil Seed Rape,02FV.Empis livida,49.70610238,RG,14
